Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Category,Sales,Quantity,Discount,Profit,Functions,IF
6827,CA-2013-118689,10-03-2013,10-10-2013,Standard Class,TC-20980,Tamara Chand,Corporate,United States,Lafayette,Indiana,Central,Technology,17499.95,5,0,8399.976,,
8154,CA-2014-140151,3/24/2014,3/26/2014,First Class,RB-19360,Raymond Buch,Consumer,United States,Seattle,Washington,West,Technology,13999.96,4,0,6719.9808,,
4191,CA-2014-166709,11/18/2014,11/23/2014,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Newark,Delaware,East,Technology,10499.97,3,0,5039.9856,,
9040,CA-2013-117121,12/18/2013,12/22/2013,Standard Class,AB-10105,Adrian Barton,Consumer,United States,Detroit,Michigan,Central,Office Supplies,9892.74,13,0,4946.37,,
4099,CA-2011-116904,9/23/2011,9/28/2011,Standard Class,SC-20095,Sanjit Chand,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,9449.95,5,0,4630.4755,,
2624,CA-2014-127180,10/23/2014,10/25/2014,First Class,TA-21385,Tom Ashbrook,Home Office,United States,New York City,New York,East,Technology,11199.968,4,0.2,3919.9888,,
510,CA-2012-145352,3/16/2012,3/22/2012,Standard Class,CM-12385,Christopher Martinez,Consumer,United States,Atlanta,Georgia,South,Office Supplies,6354.95,5,0,3177.475,,
8489,CA-2013-158841,02-02-2013,02-04-2013,Second Class,SE-20110,Sanjit Engle,Consumer,United States,Arlington,Virginia,South,Technology,8749.95,5,0,2799.984,,
7667,US-2013-140158,10-05-2013,10-09-2013,Standard Class,DR-12940,Daniel Raglin,Home Office,United States,Providence,Rhode Island,East,Technology,5399.91,9,0,2591.9568,,
6521,CA-2014-138289,1/17/2014,1/19/2014,Second Class,AR-10540,Andy Reiter,Consumer,United States,Jackson,Michigan,Central,Office Supplies,5443.96,4,0,2504.2216,,
1086,US-2013-143819,03-02-2013,03-06-2013,Standard Class,KD-16270,Karen Daniels,Consumer,United States,Yonkers,New York,East,Technology,4899.93,7,0,2400.9657,,
4278,US-2013-107440,4/17/2013,4/21/2013,Standard Class,BS-11365,Bill Shonely,Corporate,United States,Lakewood,New Jersey,East,Technology,9099.93,7,0,2365.9818,,
8991,US-2012-128587,12/24/2012,12/30/2012,Standard Class,HM-14860,Harry Marie,Corporate,United States,Springfield,Missouri,Central,Technology,4899.93,7,0,2302.9671,,
6627,CA-2011-145541,12/14/2011,12/21/2011,Standard Class,TB-21400,Tom Boeckenhauer,Consumer,United States,New York City,New York,East,Technology,6999.96,4,0,2239.9872,,
8205,CA-2012-114811,11-08-2012,11-08-2012,Same Day,KD-16495,Keith Dawkins,Corporate,United States,New York City,New York,East,Technology,4643.8,4,0,2229.024,,
319,CA-2011-164973,11-04-2011,11-09-2011,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,East,Technology,3991.98,2,0,1995.99,,
7684,CA-2012-120782,4/28/2012,05-01-2012,First Class,SD-20485,Shirley Daniels,Home Office,United States,Midland,Michigan,Central,Office Supplies,3812.97,3,0,1906.485,,
8859,CA-2014-135909,10/14/2014,10/21/2014,Standard Class,JW-15220,Jane Waco,Corporate,United States,Sacramento,California,West,Office Supplies,5083.96,5,0.2,1906.485,,
7915,CA-2014-165323,6/18/2014,6/22/2014,Standard Class,SR-20740,Steven Roelle,Home Office,United States,New York City,New York,East,Technology,3404.5,5,0,1668.205,,
7819,CA-2013-138478,10/22/2013,10/27/2013,Second Class,DP-13390,Dennis Pardue,Home Office,United States,North Las Vegas,Nevada,West,Office Supplies,4535.976,3,0.2,1644.2913,,
1645,CA-2012-111829,3/19/2012,3/20/2012,First Class,FH-14365,Fred Hopkins,Corporate,United States,Seattle,Washington,West,Technology,3149.93,7,0,1480.4671,,
1455,CA-2013-133711,11/27/2013,11/30/2013,First Class,MC-17425,Mark Cousins,Corporate,United States,Mobile,Alabama,South,Technology,3040,8,0,1459.2,,
9271,US-2014-102183,8/22/2014,8/29/2014,Standard Class,PK-19075,Pete Kriz,Consumer,United States,New York City,New York,East,Office Supplies,4305.552,6,0.2,1453.1238,,
5563,CA-2014-133263,04-01-2014,04-03-2014,Second Class,JE-15610,Jim Epp,Corporate,United States,Atlanta,Georgia,South,Technology,2999.95,5,0,1439.976,,
4094,CA-2012-102491,8/24/2012,8/28/2012,Standard Class,KW-16435,Katrina Willman,Consumer,United States,Florence,Kentucky,South,Technology,3080,7,0,1416.8,,
354,CA-2013-129714,09-02-2013,09-04-2013,First Class,AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,East,Office Supplies,4355.168,4,0.2,1415.4296,,
516,CA-2014-127432,1/23/2014,1/28/2014,Standard Class,AD-10180,Alan Dominguez,Home Office,United States,Great Falls,Montana,West,Technology,2999.95,5,0,1379.977,,
5127,CA-2011-160766,9/14/2011,9/14/2011,Same Day,DM-13015,Darrin Martin,Consumer,United States,New York City,New York,East,Technology,2799.96,4,0,1371.9804,,
6341,CA-2014-143112,10-06-2014,10-10-2014,Standard Class,TS-21370,Todd Sumrall,Corporate,United States,New York City,New York,East,Technology,5199.96,4,0,1351.9896,,
995,CA-2011-117639,5/21/2011,5/25/2011,Standard Class,MW-18235,Mitch Willingham,Corporate,United States,Virginia Beach,Virginia,South,Office Supplies,2715.93,7,0,1276.4871,,
7281,CA-2012-162782,2/21/2012,2/27/2012,Standard Class,PW-19240,Pierre Wener,Consumer,United States,Columbia,Maryland,East,Office Supplies,2541.98,2,0,1270.99,,
2849,CA-2014-157854,04-09-2014,4/16/2014,Standard Class,DM-13345,Denise Monton,Corporate,United States,Roswell,Georgia,South,Office Supplies,2690.97,3,0,1264.7559,,
2493,CA-2011-144624,11/19/2011,11/23/2011,Standard Class,JM-15865,John Murray,Consumer,United States,Jamestown,New York,East,Technology,4548.81,7,0,1228.1787,,
2183,CA-2013-128818,05-08-2013,05-12-2013,Standard Class,CJ-12010,Caroline Jumper,Consumer,United States,New York City,New York,East,Technology,3999.95,5,0,1159.9855,,
8750,US-2012-163825,6/16/2012,6/19/2012,First Class,LC-16885,Lena Creighton,Consumer,United States,New York City,New York,East,Office Supplies,3050.376,3,0.2,1143.891,,
6426,CA-2013-143714,5/24/2013,5/28/2013,Standard Class,CC-12370,Christopher Conant,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,8399.976,4,0.4,1119.9968,,
5007,CA-2012-169796,11-09-2012,11/14/2012,Standard Class,Dp-13240,Dean percer,Home Office,United States,New York City,New York,East,Technology,2321.9,2,0,1114.512,,
6818,CA-2011-144414,6/17/2011,6/21/2011,Standard Class,GH-14425,Gary Hwang,Consumer,United States,Seattle,Washington,West,Office Supplies,3266.376,3,0.2,1061.5722,,
3274,CA-2014-133865,05-09-2014,5/13/2014,Standard Class,PS-19045,Penelope Sewall,Home Office,United States,Los Angeles,California,West,Technology,3359.952,6,0.2,1049.985,,
5711,US-2012-160857,05-08-2012,5/15/2012,Standard Class,NW-18400,Natalie Webber,Consumer,United States,New York City,New York,East,Technology,2799.944,7,0.2,1014.9797,,
9742,CA-2012-117086,11-08-2012,11-12-2012,Standard Class,QJ-19255,Quincy Jones,Corporate,United States,Burlington,Vermont,East,Furniture,4404.9,5,0,1013.127,,
4620,CA-2014-145219,12/25/2014,12/26/2014,First Class,RM-19675,Robert Marley,Home Office,United States,Los Angeles,California,West,Technology,2879.952,6,0.2,1007.9832,,
3984,CA-2013-135265,07-08-2013,07-10-2013,Second Class,CC-12370,Christopher Conant,Consumer,United States,Los Angeles,California,West,Technology,2799.96,5,0.2,944.9865,,
9930,CA-2013-129630,09-05-2013,09-05-2013,Same Day,IM-15055,Ionia McGrath,Consumer,United States,San Francisco,California,West,Technology,2799.96,5,0.2,944.9865,,
6210,CA-2014-119809,8/19/2014,8/26/2014,Standard Class,YS-21880,Yana Sorensen,Corporate,United States,Seattle,Washington,West,Office Supplies,2793.528,9,0.2,942.8157,,
7584,CA-2011-163223,3/21/2011,3/25/2011,Standard Class,KH-16690,Kristen Hastings,Corporate,United States,Springfield,Virginia,South,Technology,3499.93,7,0,909.9818,,
6528,CA-2013-157791,12/24/2013,12/29/2013,Second Class,CA-11965,Carol Adams,Corporate,United States,Warwick,Rhode Island,East,Technology,1999.96,4,0,899.982,,
5991,US-2014-163300,9/16/2014,9/22/2014,Standard Class,ES-14020,Erica Smith,Consumer,United States,Los Angeles,California,West,Office Supplies,2357.488,7,0.2,884.058,,
3056,US-2012-100377,8/28/2012,09-01-2012,Standard Class,TS-21370,Todd Sumrall,Corporate,United States,Chicago,Illinois,Central,Technology,2799.96,5,0.2,874.9875,,
1897,CA-2014-141789,10-04-2014,10-07-2014,First Class,AC-10450,Amy Cox,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,1793.98,2,0,843.1706,,
4861,CA-2013-101546,12/19/2013,12/25/2013,Standard Class,GK-14620,Grace Kelly,Corporate,United States,Morristown,New Jersey,East,Office Supplies,1793.98,2,0,843.1706,,
9034,CA-2011-152268,09-02-2011,09-07-2011,Standard Class,SC-20095,Sanjit Chand,Consumer,United States,Fayetteville,Arkansas,South,Office Supplies,1793.98,2,0,843.1706,,
6902,US-2014-135013,7/25/2014,7/25/2014,Same Day,HR-14830,Harold Ryan,Corporate,United States,Huntington Beach,California,West,Technology,2399.96,5,0.2,839.986,,
911,CA-2014-137596,09-03-2014,09-08-2014,Standard Class,BE-11335,Bill Eplett,Home Office,United States,Jackson,Michigan,Central,Technology,1928.78,7,0,829.3754,,
9949,CA-2014-121559,06-02-2014,06-04-2014,Second Class,HW-14935,Helen Wasserman,Corporate,United States,Indianapolis,Indiana,Central,Office Supplies,2405.2,8,0,793.716,,
3071,CA-2011-119375,11/17/2011,11/22/2011,Standard Class,YC-21895,Yoseph Carroll,Corporate,United States,Newark,Delaware,East,Office Supplies,2934.33,7,0,792.2691,,
6885,CA-2012-120677,5/31/2012,06-04-2012,Standard Class,BD-11320,Bill Donatelli,Consumer,United States,Minneapolis,Minnesota,Central,Furniture,2567.84,8,0,770.352,,
3296,CA-2014-113418,10-02-2014,10-04-2014,First Class,CM-12655,Corinna Mitchell,Home Office,United States,New York City,New York,East,Technology,1704.89,11,0,767.2005,,
8313,US-2014-105935,1/27/2014,02-01-2014,Standard Class,BD-11500,Bradley Drucker,Consumer,United States,Columbus,Georgia,South,Technology,2939.93,7,0,764.3818,,
9616,CA-2011-128524,11-11-2011,11/13/2011,First Class,MZ-17515,Mary Zewe,Corporate,United States,Seattle,Washington,West,Office Supplies,2033.584,2,0.2,762.594,,
1002,CA-2012-124891,7/31/2012,7/31/2012,Same Day,RH-19495,Rick Hansen,Consumer,United States,New York City,New York,East,Technology,2309.65,7,0,762.1845,,
3567,CA-2014-103877,09-08-2014,9/15/2014,Standard Class,RD-19660,Robert Dilbeck,Home Office,United States,Independence,Missouri,Central,Office Supplies,1577.94,3,0,757.4112,,
9274,CA-2014-146983,09-03-2014,09-07-2014,Standard Class,AH-10210,Alan Hwang,Consumer,United States,Henderson,Kentucky,South,Office Supplies,1577.94,3,0,757.4112,,
4640,CA-2013-102162,09-12-2013,9/17/2013,Standard Class,JF-15565,Jill Fjeld,Consumer,United States,Newport News,Virginia,South,Technology,1599.92,8,0,751.9624,,
8891,CA-2013-147256,10/18/2013,10/22/2013,Second Class,FC-14245,Frank Carlisle,Home Office,United States,Columbia,Missouri,Central,Office Supplies,1927.59,7,0,751.7601,,
7475,CA-2011-167199,01-07-2011,01-11-2011,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,Furniture,2573.82,9,0,746.4078,,
5531,CA-2014-160885,12-03-2014,12-07-2014,Standard Class,JK-16090,Juliana Krohn,Consumer,United States,Omaha,Nebraska,Central,Technology,2479.96,4,0,743.988,,
3571,CA-2014-168109,07-04-2014,07-04-2014,Same Day,JK-15640,Jim Kriz,Home Office,United States,Seattle,Washington,West,Technology,1687.8,4,0,742.632,,
7680,CA-2011-133592,12/31/2011,01-07-2012,Standard Class,KM-16375,Katherine Murray,Home Office,United States,Providence,Rhode Island,East,Technology,1687.8,4,0,742.632,,
7580,CA-2012-123113,11/23/2012,11/27/2012,Second Class,AT-10735,Annie Thurman,Consumer,United States,Morristown,New Jersey,East,Office Supplies,2625.12,8,0,735.0336,,
6535,CA-2011-128209,11/17/2011,11/22/2011,Standard Class,GT-14710,Greg Tran,Consumer,United States,Buffalo,New York,East,Office Supplies,2152.776,3,0.2,726.5619,,
393,US-2011-135972,9/21/2011,9/23/2011,Second Class,JG-15115,Jack Garza,Consumer,United States,Des Moines,Washington,West,Technology,1799.97,3,0,701.9883,,
5171,CA-2013-122903,5/28/2013,5/30/2013,Second Class,LA-16780,Laura Armstrong,Corporate,United States,Detroit,Michigan,Central,Furniture,3504.9,5,0,700.98,,
8681,CA-2013-143805,12-02-2013,12-04-2013,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Richmond,Virginia,South,Office Supplies,2104.55,7,0,694.5015,,
9491,CA-2014-111738,01-04-2014,01-08-2014,Standard Class,CM-12385,Christopher Martinez,Consumer,United States,San Francisco,California,West,Office Supplies,2022.272,8,0.2,682.5168,,
978,CA-2014-159366,01-08-2014,01-11-2014,First Class,BW-11110,Bart Watters,Corporate,United States,Detroit,Michigan,Central,Technology,3059.982,2,0.1,679.996,,
1792,CA-2011-120474,12-01-2011,12-03-2011,First Class,RP-19390,Resi Pölking,Consumer,United States,Madison,Wisconsin,Central,Furniture,2807.84,8,0,673.8816,,
9399,CA-2011-125997,9/20/2011,9/23/2011,First Class,MW-18220,Mitch Webber,Consumer,United States,New York City,New York,East,Technology,1349.91,9,0,661.4559,,
5426,CA-2013-153598,12-04-2013,12-07-2013,First Class,NM-18520,Neoma Murray,Consumer,United States,Los Angeles,California,West,Technology,1649.95,5,0,659.98,,
8302,US-2014-167318,7/27/2014,08-02-2014,Standard Class,GZ-14545,George Zrebassa,Corporate,United States,Los Angeles,California,West,Technology,1649.95,5,0,659.98,,
7938,CA-2014-166093,8/18/2014,8/25/2014,Standard Class,RW-19540,Rick Wilson,Corporate,United States,Brentwood,California,West,Office Supplies,2518.29,9,0,654.7554,,
5302,CA-2013-113831,5/31/2013,06-04-2013,Standard Class,AH-10690,Anna Häberlin,Corporate,United States,Springfield,Virginia,South,Technology,1979.7,6,0,653.301,,
1023,CA-2012-124450,4/27/2012,05-03-2012,Standard Class,GT-14710,Greg Tran,Consumer,United States,Washington,District of Columbia,East,Technology,1379.92,8,0,648.5624,,
2625,CA-2014-127180,10/23/2014,10/25/2014,First Class,TA-21385,Tom Ashbrook,Home Office,United States,New York City,New York,East,Technology,2399.6,8,0,647.892,,
3629,CA-2011-169726,08-09-2011,8/13/2011,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Seattle,Washington,West,Office Supplies,2060.744,7,0.2,643.9825,,
252,CA-2013-145625,09-12-2013,9/18/2013,Standard Class,KC-16540,Kelly Collister,Consumer,United States,San Diego,California,West,Technology,3347.37,13,0,636.0003,,
8761,CA-2013-159891,1/31/2013,02-06-2013,Standard Class,BF-11170,Ben Ferrer,Home Office,United States,Atlanta,Georgia,South,Office Supplies,1270.99,1,0,635.495,,
7521,US-2014-167920,12-10-2014,12/13/2014,Second Class,JL-15835,John Lee,Consumer,United States,Richmond,Kentucky,South,Technology,1399.98,2,0,629.991,,
6632,CA-2013-105081,12/26/2013,12/31/2013,Standard Class,JE-15715,Joe Elijah,Consumer,United States,Seattle,Washington,West,Furniture,1747.25,5,0,629.01,,
3444,CA-2014-168858,11/20/2014,11/24/2014,Standard Class,JD-16150,Justin Deggeller,Corporate,United States,New York City,New York,East,Office Supplies,2504.74,7,0,626.185,,
5757,CA-2011-163748,10/14/2011,10/18/2011,Standard Class,HG-15025,Hunter Glantz,Consumer,United States,Fort Worth,Texas,Central,Technology,1999.96,5,0.2,624.9875,,
3987,CA-2014-112333,04-09-2014,4/15/2014,Standard Class,KF-16285,Karen Ferguson,Home Office,United States,Plainfield,New Jersey,East,Office Supplies,2591.56,4,0,621.9744,,
9858,CA-2012-164301,3/26/2012,3/30/2012,Standard Class,EB-13840,Ellis Ballard,Corporate,United States,Seattle,Washington,West,Furniture,3393.68,8,0,610.8624,,
